Remote Host,Logname,User,Time,Request,Status,Bytes Sent,Referer,User-Agent
::1,-,-,[2024-08-15T11:56:25.202Z],"GET /Bot%20Icon.jpg HTTP/1.1",-,-,"http://localhost:3000/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
::1,-,-,[2024-08-15T11:56:25.313Z],"POST /botdetected/json HTTP/1.1",-,-,"http://localhost:3000/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
::1,-,-,[2024-08-15T11:56:34.840Z],"GET /Bot%20Icon.png HTTP/1.1",-,-,"http://localhost:3000/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
::1,-,-,[2024-08-15T11:56:34.985Z],"POST /botdetected/json HTTP/1.1",-,-,"http://localhost:3000/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
::1,-,-,[2024-08-15T11:58:13.830Z],"GET /Bot%20Icon.png HTTP/1.1",-,-,"http://localhost:3000/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
::1,-,-,[2024-08-15T11:58:13.982Z],"POST /botdetected/json HTTP/1.1",-,-,"http://localhost:3000/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
::1,-,-,[2024-08-15T11:59:05.893Z],"GET /Bot%20Icon.png HTTP/1.1",-,-,"http://localhost:3000/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
::1,-,-,[2024-08-15T11:59:06.068Z],"POST /botdetected/json HTTP/1.1",-,-,"http://localhost:3000/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
::1,-,-,[2024-08-15T11:59:24.456Z],"GET /Bot%20Icon.jpg HTTP/1.1",-,-,"http://localhost:3000/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
::1,-,-,[2024-08-15T11:59:24.610Z],"POST /botdetected/json HTTP/1.1",-,-,"http://localhost:3000/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
::1,-,-,[2024-08-15T11:59:36.951Z],"POST /botdetected/json HTTP/1.1",-,-,"http://localhost:3000/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
